epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2279,0.46016,1.14075,2.6368,0.95176,0.75949,0.73749,0.84286,0.82188,0.75949,0.73749,0.84286,0.80878,0.29963,0.74968,1.28329,0.80519,0.0001218,0.0001218,0.0001218
2,63.0463,0.33143,0.45903,0.83855,0.85426,0.79203,0.90247,0.95239,0.90475,0.79203,0.90247,0.95239,0.91394,0.33996,0.66564,0.65809,0.80763,0.000243041,0.000243041,0.000243041
3,93.7861,0.34669,0.44316,0.62045,0.85246,0.94661,0.91622,0.97992,0.91571,0.93797,0.90823,0.96596,0.90057,0.40963,0.83262,0.51679,0.82758,0.000359286,0.000359286,0.000359286
4,124.267,0.35256,0.44974,0.53522,0.85747,0.89896,0.92996,0.98161,0.92846,0.89896,0.92996,0.98161,0.91453,0.34963,0.93946,0.47954,0.82432,0.000409161,0.000409161,0.000409161
5,154.891,0.35603,0.44609,0.48898,0.8567,0.87385,0.90838,0.97054,0.92971,0.87385,0.90838,0.97054,0.92101,0.32246,0.7657,0.56385,0.79518,0.000400548,0.000400548,0.000400548
6,185.502,0.33639,0.42681,0.46892,0.85762,0.90178,0.9642,0.98266,0.94018,0.89907,0.96149,0.97786,0.93068,0.30687,0.6215,0.36436,0.78546,0.000391935,0.000391935,0.000391935
7,216.39,0.32429,0.40719,0.4225,0.84881,0.95462,0.89726,0.9684,0.93478,0.95462,0.89726,0.9684,0.93402,0.31761,0.60691,0.37459,0.79132,0.000383322,0.000383322,0.000383322
8,246.981,0.31648,0.39809,0.39768,0.84125,0.9614,0.98471,0.98784,0.96524,0.9614,0.98471,0.98784,0.95091,0.26411,0.51818,0.28831,0.78027,0.000374709,0.000374709,0.000374709
9,277.614,0.30098,0.41186,0.39492,0.84633,0.96686,0.95479,0.99149,0.96429,0.96686,0.95479,0.99149,0.95937,0.27215,0.47616,0.33869,0.78519,0.000366096,0.000366096,0.000366096
10,308.39,0.30089,0.39099,0.38662,0.85045,0.93694,0.97019,0.98722,0.96032,0.93694,0.97019,0.98722,0.95209,0.29716,0.51645,0.34461,0.79966,0.000357483,0.000357483,0.000357483
11,338.836,0.286,0.36858,0.35713,0.84128,0.97729,0.98959,0.99146,0.96252,0.97729,0.98959,0.99146,0.95893,0.28353,0.44189,0.27355,0.7948,0.00034887,0.00034887,0.00034887
12,369.637,0.2927,0.366,0.35551,0.83982,0.98833,0.98422,0.99012,0.96542,0.98833,0.98422,0.99012,0.95999,0.26131,0.4892,0.24368,0.78127,0.000340257,0.000340257,0.000340257
13,400.368,0.27673,0.36234,0.34065,0.83645,0.95599,0.96658,0.992,0.97166,0.95599,0.96658,0.992,0.95773,0.24562,0.45652,0.25838,0.7758,0.000331644,0.000331644,0.000331644
14,431.022,0.28157,0.36892,0.33327,0.8414,0.95595,0.97271,0.99355,0.96984,0.95595,0.97271,0.99355,0.96911,0.25806,0.39003,0.27601,0.78581,0.000323031,0.000323031,0.000323031
15,461.586,0.27313,0.36897,0.31152,0.83733,0.98772,0.98782,0.99286,0.97526,0.98772,0.98782,0.99089,0.97349,0.24869,0.39274,0.20786,0.7793,0.000314418,0.000314418,0.000314418
16,492.441,0.26572,0.35369,0.31166,0.83397,0.96952,0.94593,0.99364,0.97227,0.96952,0.94593,0.99364,0.96495,0.23999,0.40695,0.26477,0.77318,0.000305805,0.000305805,0.000305805
17,522.84,0.27271,0.35237,0.30881,0.83741,0.93459,0.95495,0.98891,0.96639,0.93459,0.95495,0.98891,0.96026,0.2602,0.43909,0.29979,0.78505,0.000297192,0.000297192,0.000297192
18,553.2,0.26575,0.35959,0.31537,0.83678,0.97309,0.97595,0.99118,0.97002,0.97309,0.97595,0.99118,0.95956,0.2461,0.45297,0.25794,0.78057,0.000288579,0.000288579,0.000288579
19,583.6,0.26632,0.36094,0.30895,0.83523,0.98541,0.98549,0.99465,0.97848,0.98541,0.98549,0.99465,0.96577,0.23993,0.40859,0.22115,0.77516,0.000279966,0.000279966,0.000279966
20,614.229,0.25429,0.359,0.28438,0.83606,0.97559,0.99492,0.99123,0.97318,0.97559,0.99492,0.99123,0.96759,0.23977,0.40449,0.2027,0.7718,0.000271353,0.000271353,0.000271353
21,644.684,0.24785,0.33559,0.27234,0.84137,0.98382,0.99671,0.99481,0.97692,0.98382,0.99671,0.99481,0.97366,0.2295,0.42516,0.21698,0.77961,0.00026274,0.00026274,0.00026274
22,675.546,0.23571,0.34127,0.26396,0.83275,0.98387,0.98733,0.9945,0.98101,0.98387,0.98733,0.9945,0.97822,0.2141,0.40109,0.19117,0.76642,0.000254127,0.000254127,0.000254127
23,706.335,0.2481,0.33014,0.27079,0.83283,0.9864,0.98197,0.99445,0.98065,0.9864,0.98197,0.99445,0.97824,0.21173,0.37136,0.18732,0.76945,0.000245514,0.000245514,0.000245514
24,737.105,0.25188,0.34989,0.27208,0.83406,0.99202,0.99318,0.99465,0.98291,0.99202,0.99318,0.99465,0.97616,0.20989,0.39227,0.17352,0.77047,0.000236901,0.000236901,0.000236901
25,767.571,0.2468,0.32744,0.25615,0.83728,0.98718,0.99263,0.99339,0.98085,0.98718,0.99263,0.99339,0.97493,0.21835,0.39476,0.2003,0.77831,0.000228288,0.000228288,0.000228288
26,798.147,0.24175,0.32557,0.2509,0.83694,0.98789,0.99002,0.9945,0.98248,0.98789,0.99002,0.9945,0.97812,0.2097,0.37672,0.19335,0.77536,0.000219675,0.000219675,0.000219675
27,828.855,0.22902,0.30672,0.22745,0.82591,0.99143,0.99341,0.99425,0.98536,0.99143,0.99341,0.99425,0.97869,0.20261,0.3659,0.18264,0.7636,0.000211062,0.000211062,0.000211062
28,859.866,0.23029,0.31538,0.23095,0.83198,0.98984,0.98486,0.99437,0.98488,0.98984,0.98486,0.99437,0.97929,0.20751,0.35935,0.19133,0.76627,0.000202449,0.000202449,0.000202449
29,890.415,0.22672,0.31236,0.2311,0.83022,0.98796,0.9925,0.99465,0.98539,0.98796,0.9925,0.99465,0.9781,0.20347,0.37991,0.18712,0.76645,0.000193836,0.000193836,0.000193836
30,920.723,0.22562,0.32141,0.22935,0.83148,0.98945,0.99362,0.99439,0.98368,0.99276,0.99671,0.99465,0.97771,0.19861,0.39594,0.18106,0.76871,0.000185223,0.000185223,0.000185223
31,951.3,0.20825,0.29672,0.21525,0.82466,0.98786,0.99671,0.9945,0.98326,0.98786,0.99671,0.9945,0.97697,0.19173,0.37085,0.16623,0.76324,0.00017661,0.00017661,0.00017661
32,982.045,0.21758,0.31126,0.21388,0.82946,0.99342,0.99313,0.99465,0.9821,0.99342,0.99313,0.99465,0.97807,0.1962,0.35992,0.17011,0.76676,0.000167997,0.000167997,0.000167997
33,1012.36,0.21048,0.30107,0.20645,0.82656,0.98635,0.9931,0.9945,0.98305,0.98635,0.9931,0.9945,0.97682,0.2025,0.35388,0.18691,0.78525,0.000159384,0.000159384,0.000159384
